,id,name,city,address_geo,latitude,longitude
77,https://www.bringfido.com/restaurant/35792,Dobra Tea,"Pittsburgh, PA","Dobrá Tea, 1937, Murray Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4349357,-79.9226618
79,https://www.bringfido.com/restaurant/60973,Hard Rock Cafe,"Pittsburgh, PA","Hard Rock Cafe, West Station Square Drive, Station Square, South Shore, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4339707,-80.0049211
85,https://www.bringfido.com/restaurant/60984,Noodles & Company,"Pittsburgh, PA","Noodles & Company, 4805, Forbes Avenue, Oakland, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4418314,-79.9568622
90,https://www.bringfido.com/restaurant/60953,Chipotle Mexican Grill,"Pittsburgh, PA","Chipotle Mexican Grill, 4800, Baum Boulevard, Bloomfield, PGH, Allegheny County, Pennsylvania, 15213, USA",40.45423295,-79.9474202737364
92,https://www.bringfido.com/restaurant/61006,TGI Fridays,"Pittsburgh, PA","TGI Friday's, Freeport Road, Lincoln-Lemington, Lincoln-Lemington-Belmar, PGH, Allegheny County, Pennsylvania, 15215X, USA",40.4869927,-79.8911291
94,https://www.bringfido.com/restaurant/60980,Mitchell's Restaurant,"Pittsburgh, PA","Mitchell's Restaurant, 304, Third Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.437095,-79.9965509
95,https://www.bringfido.com/restaurant/68085,Mineo's Pizza House,"Pittsburgh, PA","Mineo's Pizza House, Murray Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4329533,-79.9232146
96,https://www.bringfido.com/restaurant/60968,Five Guys,"Pittsburgh, PA","Five Guys, Retail Drive, Pittsburgh Mills, Frazer Township, Allegheny County, Pennsylvania, 15049, USA",40.570088,-79.8024871
98,https://www.bringfido.com/restaurant/61004,Starbucks,"Pittsburgh, PA","Starbucks, Pittsburgh Mills Boulevard, Pittsburgh Mills, Frazer Township, Allegheny County, Pennsylvania, 15049, USA",40.5704195,-79.8024866
100,https://www.bringfido.com/restaurant/60994,Pitaland Cafe,"Pittsburgh, PA","Pitaland, 620, Brookline Boulevard, West Liberty, Brookline, PGH, Allegheny County, Pennsylvania, 15226, USA",40.3949493,-80.0219786
101,https://www.bringfido.com/restaurant/60990,Panera Bread,"Pittsburgh, PA","Panera Bread, 5430, Centre Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4560504,-79.9374331358928
102,https://www.bringfido.com/restaurant/60951,Bruegger's Bagels,"Pittsburgh, PA","Bruegger's Bagels, 806, South Aiken Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232-2210, USA",40.4507402,-79.9357127
103,https://www.bringfido.com/restaurant/36656,Vinny's Pizza,"Pittsburgh, PA","Vinny's Pizza, 618, Brookline Boulevard, West Liberty, Brookline, PGH, Allegheny County, Pennsylvania, 15226, USA",40.3950295,-80.0220543
